params,mean_test_score,std_test_score
"{'max_depth': 5, 'n_estimators': 200}",0.8913503599682461,0.018625252554024686
"{'max_depth': 5, 'n_estimators': 100}",0.8881891038801607,0.02018671891749435
"{'max_depth': 5, 'n_estimators': 50}",0.8872903168296121,0.020870758969682046
"{'max_depth': 10, 'n_estimators': 200}",0.883932101222074,0.023998665086204664
"{'max_depth': 10, 'n_estimators': 50}",0.8836863808679526,0.02508895526546044
"{'max_depth': 10, 'n_estimators': 100}",0.8829265485092044,0.0266728128344934
"{'max_depth': None, 'n_estimators': 200}",0.8794619743400232,0.022686354884590962
"{'max_depth': 15, 'n_estimators': 200}",0.8788806205337372,0.02338533171460653
"{'max_depth': None, 'n_estimators': 100}",0.8759346470051076,0.022661162585393437
"{'max_depth': 15, 'n_estimators': 100}",0.8756681610069144,0.02306864229113759
"{'max_depth': None, 'n_estimators': 50}",0.8730683529057514,0.018868953129059566
"{'max_depth': 15, 'n_estimators': 50}",0.8715011662030632,0.023548419791342565
